experiment,config,language,metric,value,notes
ablation,E_full_pipeline,tr,zero_shot_f1,0.7675,E: Full pipeline
ablation,E_full_pipeline,de,zero_shot_f1,0.7435,E: Full pipeline
ablation,E_full_pipeline,ar,zero_shot_f1,0.4563,E: Full pipeline
ablation,A_baseline_frozen,tr,zero_shot_f1,0.54337,A: Frozen baseline
ablation,A_baseline_frozen,de,zero_shot_f1,0.538282,A: Frozen baseline
ablation,A_baseline_frozen,ar,zero_shot_f1,0.22055,A: Frozen baseline
ablation,B_full_finetune_only,tr,zero_shot_f1,0.758362,B: Full fine-tune
ablation,B_full_finetune_only,de,zero_shot_f1,0.75306,B: Full fine-tune
ablation,B_full_finetune_only,ar,zero_shot_f1,0.494974,B: Full fine-tune
ablation,C_plus_contrastive,tr,zero_shot_f1,0.735965,C: +Contrastive
ablation,C_plus_contrastive,de,zero_shot_f1,0.744653,C: +Contrastive
ablation,C_plus_contrastive,ar,zero_shot_f1,0.446659,C: +Contrastive
ablation,D_plus_code_switch,tr,zero_shot_f1,0.740107,D: +Code-switch
ablation,D_plus_code_switch,de,zero_shot_f1,0.742847,D: +Code-switch
ablation,D_plus_code_switch,ar,zero_shot_f1,0.466329,D: +Code-switch
multiseed,B_seed42,tr,zero_shot_f1,0.740856,"Config B, seed 42"
multiseed,B_seed42,de,zero_shot_f1,0.750068,"Config B, seed 42"
multiseed,B_seed42,ar,zero_shot_f1,0.490092,"Config B, seed 42"
multiseed,B_seed43,tr,zero_shot_f1,0.76011,"Config B, seed 43"
multiseed,B_seed43,de,zero_shot_f1,0.759915,"Config B, seed 43"
multiseed,B_seed43,ar,zero_shot_f1,0.514349,"Config B, seed 43"
multiseed,B_seed44,tr,zero_shot_f1,0.767397,"Config B, seed 44"
multiseed,B_seed44,de,zero_shot_f1,0.75336,"Config B, seed 44"
multiseed,B_seed44,ar,zero_shot_f1,0.444092,"Config B, seed 44"
few_shot,k=0,tr,f1,0.7675,0 labeled target examples
few_shot,k=10,tr,f1,0.759956,10 labeled target examples
few_shot,k=50,tr,f1,0.819184,50 labeled target examples
few_shot,k=100,tr,f1,0.828185,100 labeled target examples
few_shot,k=500,tr,f1,0.860571,500 labeled target examples
few_shot,k=0,de,f1,0.7435,0 labeled target examples
few_shot,k=10,de,f1,0.751411,10 labeled target examples
few_shot,k=50,de,f1,0.761569,50 labeled target examples
few_shot,k=100,de,f1,0.793233,100 labeled target examples
few_shot,k=500,de,f1,0.810593,500 labeled target examples
few_shot,k=0,ar,f1,0.4563,0 labeled target examples
few_shot,k=10,ar,f1,0.682829,10 labeled target examples
few_shot,k=50,ar,f1,0.726353,50 labeled target examples
few_shot,k=100,ar,f1,0.746887,100 labeled target examples
few_shot,k=500,ar,f1,0.786822,500 labeled target examples
alignment,before,tr,alignment_gap,0.005046,"true-pair minus shuffled-pair cosine sim, before contrastive"
alignment,before,de,alignment_gap,0.007467,"true-pair minus shuffled-pair cosine sim, before contrastive"
alignment,before,ar,alignment_gap,0.005168,"true-pair minus shuffled-pair cosine sim, before contrastive"
alignment,after,tr,alignment_gap,0.629186,"true-pair minus shuffled-pair cosine sim, after contrastive"
alignment,after,de,alignment_gap,0.635631,"true-pair minus shuffled-pair cosine sim, after contrastive"
alignment,after,ar,alignment_gap,0.55788,"true-pair minus shuffled-pair cosine sim, after contrastive"
extra_languages,E_full_pipeline,ko,zero_shot_f1,0.508618,"eval-only, no retraining"
extra_languages,E_full_pipeline,fi,zero_shot_f1,0.757787,"eval-only, no retraining"
extra_languages,E_full_pipeline,sw,zero_shot_f1,0.674777,"eval-only, no retraining"
